 : 18
позитронный : 2
мозг : 1
который : 2
управляет : 5
несколькими : 10
реакциями : 1
на : 14
определенные : 2
раздражители : 1
которому : 2
не : 16
требуется : 5
знания : 1
Трех : 10
Законов : 1
и : 15
который : 2
легко : 11
и : 15
дешево : 11
можно : 13
воспроизвести : 6
Каким : 2
он : 12
должен : 3
быть : 6
по : 14
величине : 1
Совсем : 11
небольшим : 2
В : 14
зависимости : 1
от : 14
сложности : 1
реакции : 1
он : 12
может : 5
весить : 6
сто : 1
граммов : 1
один : 2
грамм : 1
один : 2
миллиграмм : 1
Твой : 2
вывод : 1
совпал : 5
с : 14
моим : 2
Я : 12
должен : 3
повидать : 6
мистера : 1
Харримана : 1
Робертсон : 1
так : 15
толком : 11
и : 15
не : 16
побывал : 5
на : 14
фирме : 1
после : 14
демонстрации : 1
робоптицы : 1
Частично : 11
это : 16
объяснялось : 5
непрекращающимися : 2
прессконференциями : 1
в : 14
резиденции : 1
Всемирного : 2
Правительства : 1
на : 14
которых : 2
к : 14
счастью : 1
присутствовал : 5
и : 15
Харриман : 1
Робертсон : 1
предоставленный : 7
самому : 2
себе : 12
вряд : 11
ли : 16
смог : 5
бы : 16
ответить : 6
хотя : 15
бы : 16
на : 14
половину : 1
вопросов : 1
Другая : 2
же : 16
причина : 1
удерживавшая : 7
его : 12
от : 14
посещения : 1
Ю : 1
С : 14
Роботс : 1
заключалась : 5
в : 14
том : 2
что : 15
ему : 12
не : 16
хотелось : 5
ее : 12
посещать : 6
Он : 12
сидел : 5
у : 14
себя : 12
дома : 1
вместе : 11
с : 14
Харриманом : 1
к : 14
которому : 2
испытывал : 5
неизъяснимое : 2
почтение : 1
Конечно : 15
спору : 1
нет : 13
специалист : 1
он : 12
знающий : 2
но : 15
вывести : 6
единым : 2
махом : 1
фирму : 1
изпод : 1
удара : 1
Робертсон : 1
нутром : 1
чуял : 5
у : 14
Харримана : 1
кишка : 1
тонка : 3
И : 15
тем : 15
не : 16
менее : 11
Харриман : 1
вы : 12
часом : 11
не : 16
суеверны : 3
спросил : 5
он : 12
В : 14
каком : 2
смысле : 1
мистер : 1
Робертсон : 1
Вы : 12
не : 16
допускаете : 5
что : 15
умершие : 1
оставляют : 5
после : 14
себя : 12
некую : 2
ауру : 1
Харриман : 1
провел : 5
языком : 1
по : 14
губам : 1
В : 14
общем : 2
не : 16
стоило : 5
даже : 16
и : 15
спрашивать : 6
Вы : 12
имеете : 5
в : 14
виду : 1
Сьюзен : 1
Кэлвин : 1
сэр : 1
Конечно : 15
задумчиво : 11
протянул : 5
Робертсон : 1
Мы : 12
занялись : 5
производством : 1
червей : 1
птиц : 1
и : 15
букашек : 1
Что : 15
бы : 16
она : 12
сказала : 5
по : 14
этому : 12
поводу : 1
Я : 12
чувствую : 5
себя : 12
униженным : 7
Робот : 1
есть : 17
робот : 1
сэр : 1
Харриман : 1
едва : 11
удерживался : 5
от : 14
смеха : 1
Червяк : 1
или : 15
человек : 1
в : 14
любом : 12
случае : 1
он : 12
поступает : 5
как : 15
приказано : 8
и : 15
трудится : 5
на : 14
благо : 15
людей : 1
а : 15
это : 16
самое : 2
главное : 2
Нет : 13
капризно : 11
протянул : 5
Робертсон : 1
это : 16
не : 16
так : 15
Не : 16
могу : 5
заставить : 6
себя : 12
поверить : 6
Но : 15
это : 16
правда : 16
мистер : 1
Робертсон : 1
убежденно : 3
произнес : 5
Харриман : 1
Мы : 12
с : 14
вами : 12
вы : 12
и : 15
я : 12
создадим : 5
новый : 2
мир : 1
который : 2
для : 14
начала : 1
признает : 5
само : 2
собой : 12
разумеющимся : 7
существование : 1
хоть : 15
какойто : 3
разновидности : 1
позитронных : 2
роботов : 1
Обыватель : 1
может : 5
бояться : 6
робота : 1
похожего : 2
на : 14
него : 12
самого : 2
но : 15
он : 12
не : 16
испугается : 5
робоптицы : 1
которая : 2
только : 16
и : 15
делает : 5
что : 15
клюет : 5
букашек : 1
для : 14
его : 12
обывателя : 1
пользы : 1
Затем : 11
постепенно : 11
когда : 15
отдельные : 2
виды : 1
роботов : 1
перестанут : 5
наводить : 6
на : 14
него : 12
страх : 11
когда : 15
он : 12
привыкнет : 5
к : 14
робоптицам : 1
робопчелам : 1
робочервям : 1
робочеловек : 1
покажется : 5
ему : 12
всего : 11
лишь : 16
естественным : 2
продолжением : 1
этого : 12
ряда : 1
Робертсон : 1
внимательно : 11
посмотрел : 5
на : 14
собеседника : 1
заложил : 5
руки : 1
за : 14
спину : 1
и : 15
принялся : 5
мерить : 6
комнату : 1
быстрыми : 2
нервными : 2
шагами : 1
Потом : 11
подошел : 5
к : 14
Харриману : 1
и : 15
еще : 16
раз : 1
заглянул : 5
ему : 12
в : 14
глаза : 1
Значит : 15
таковы : 3
ваши : 2
планы : 1
Конечно : 15
И : 15
хотя : 15
мы : 12
демонтировали : 5
почти : 11
всех : 2
гуманоидных : 2
роботов : 1
некоторые : 2
развитые : 2
экспериментальные : 2
модели : 1
можно : 13
оставить : 6
и : 15
постепенно : 11
разрабатывать : 6
на : 14
их : 12
основе : 1
еще : 16
более : 11
совершенные : 2
модели : 1
чтобы : 15
быть : 6
во : 14
всеоружии : 1
когда : 15
настанет : 5
решающий : 2
момент : 1
а : 15
он : 12
непременно : 11
настанет : 5
По : 14
условиям : 1
договора : 1
Харриман : 1
мы : 12
не : 16
имеем : 5
права : 1
производить : 6
гуманоидных : 2
роботов : 1
А : 15
мы : 12
и : 15
не : 16
будем : 5
Но : 15
нигде : 11
не : 16
сказано : 8
что : 15
нельзя : 13
оставить : 6
готовых : 2
роботов : 1
если : 15
они : 12
не : 16
будут : 5
покидать : 6
территорию : 1
фирмы : 1
И : 15
опятьтаки : 1
никто : 12
не : 16
запрещает : 5
нам : 12
конструировать : 6
позитронные : 2
мозги : 1
на : 14
бумаге : 1
или : 15
создавать : 6
опытные : 2
модели : 1
для : 14
испытания : 1
И : 15
как : 15
же : 16
мы : 12
будем : 5
объясняться : 6
Нас : 12
ведь : 15
наверняка : 11
поймают : 5
Можно : 13
объяснить : 6
что : 15
мы : 12
развиваем : 5
принципиальные : 2
идеи : 1
на : 14
основе : 1
которых : 2
будут : 5
созданы : 8
усложненные : 7
микромозги : 1
для : 14
робоживотных : 2
И : 15
кстати : 15
это : 16
не : 16
будет : 5
неправдой : 1
Пойду : 5
прогуляюсь : 5
пробормотал : 5
Робертсон : 1
Мне : 12
нужно : 13
переварить : 6
все : 2
это : 16
Нет : 13
вы : 12
оставайтесь : 5
Я : 12
хочу : 5
подумать : 6
в : 14
одиночестве : 1
Харриман : 1
остался : 5
один : 2
Он : 12
был : 5
полон : 3
энтузиазма : 1
Все : 2
будет : 5
замечательно : 3
Недаром : 11
правительственные : 2
чиновники : 1
один : 2
за : 14
другим : 2
становились : 5
все : 2
более : 11
пылкими : 2
сторонниками : 1
проекта : 1
как : 15
только : 16
им : 1
объясняли : 5
в : 14
чем : 15
его : 12
суть : 5
Как : 15
могло : 5
случиться : 6
что : 15
никто : 12
в : 14
Ю : 1
С : 14
Роботс : 1
раньше : 4
не : 16
додумался : 5
до : 14
такой : 2
простой : 1
вещи : 3
Даже : 16
великая : 2
Сьюзен : 1
Кэлвин : 1
никогда : 11
не : 16
помышляла : 5
поместить : 6
позитронный : 2
мозг : 1
в : 14
оболочку : 1
отличную : 2
от : 14
человеческой : 2
Вынужденный : 2
отказ : 1
от : 14
гуманоидных : 2
роботов : 1
временный : 2
отказ : 1
приведет : 5
к : 14
тому : 2
что : 15
страх : 11
перед : 14
ними : 12
наконец : 11
исчезнет : 5
А : 15
потом : 11
при : 14
сотрудничестве : 1
с : 14
позитронным : 2
мозгом : 1
не : 16
уступающим : 7
человеческому : 2
и : 15
существующим : 2
благодаря : 14
Трем : 10
Законам : 1
только : 16
ради : 14
служения : 1
людям : 1
да : 16
еще : 16
при : 14
экологическом : 2
равновесии : 1
поддерживаемом : 7
опятьтаки : 1
роботами : 1
бог : 1
мой : 2
каких : 2
высот : 1
достигнет : 5
человеческая : 2
раса : 1
В : 14
этот : 2
момент : 1
он : 12
неожиданно : 11
вспомнил : 5
что : 15
не : 16
кто : 12
иной : 2
как : 15
Джордж : 1
Десять : 10
предложил : 5
использовать : 6
роботов : 1
для : 14
экологической : 2
защиты : 1
но : 15
тут : 11
же : 16
сердито : 11
отбросил : 5
эту : 2
мысль : 1
Джордж : 1
Десять : 10
выдал : 5
ответ : 1
потому : 11
что : 15
он : 12
Харриман : 1
приказал : 5
ему : 12
и : 15
предоставил : 5
все : 2
необходимые : 2
исходные : 2
данные : 7
В : 14
сущности : 1
заслуга : 1
Джорджа : 1
Десять : 10
не : 16
больше : 4
чем : 15
у : 14
логарифмической : 2
линейки : 1
Джордж : 1
Десять : 10
и : 15
Джордж : 1
Девять : 10
сидели : 5
в : 14
ячейке : 1
бок : 1
о : 14
бок : 1
не : 16
шевелясь : 9
Так : 15
они : 12
сидели : 5
месяцами : 11
с : 14
небольшими : 2
перерывами : 1
в : 14
течение : 1
которых : 2
Харриман : 1
активизировал : 5
их : 12
для : 14
очередной : 2
консультации : 1
Не : 16
исключено : 8
что : 15
они : 12
просидят : 5
так : 15
долгие : 2
годы : 1
бесстрастно : 11
констатировал : 5
Джордж : 1
Десять : 10
Протонный : 2
микрореактор : 1
будет : 5
непрерывно : 11
подпитывать : 6
их : 12
минимальной : 2
энергией : 1
необходимой : 2
для : 14
поддержания : 1
жизни : 1
позитронного : 2
мозга : 1
И : 15
так : 15
будет : 5
все : 2
время : 1
если : 15
не : 16
считать : 6
коротких : 2
периодов : 1
активности : 1
Это : 16
было : 5
похоже : 15
на : 14
сон : 1
только : 16
без : 14
сновидений : 1
Сознание : 1
роботов : 1
включалось : 5
не : 16
регулярно : 11
и : 15
было : 5
заторможенным : 7
но : 15
не : 16
иллюзорным : 2
Иногда : 11
они : 12
переговаривались : 5
еле : 11
слышным : 2
шепотом : 11
время : 1
от : 14
времени : 1
произнося : 9
то : 15
слог : 1
то : 15
целое : 1
слово : 1
когда : 15
позитронные : 2
колебания : 1
вдруг : 11
случайно : 11
поднимались : 5
немного : 11
выше : 11
установленного : 2
порога : 1
Однако : 15
роботам : 1
их : 12
беседа : 1
казалась : 5
вполне : 11
связной : 2
поскольку : 15
перерывов : 1
между : 14
репликами : 1
они : 12
не : 16
ощущали : 5
Почему : 11
мы : 12
здесь : 11
прошептал : 5
Джордж : 1
Девять : 10
Люди : 1
пока : 11
не : 16
принимают : 5
нас : 12
еле : 11
слышно : 3
ответил : 5
Джордж : 1
Десять : 10
Но : 15
когданибудь : 11
это : 16
произойдет : 5
Когда : 15
Через : 14
несколько : 11
лет : 1
Точное : 2
время : 1
не : 16
имеет : 5
значения : 1
Человек : 1
существует : 5
не : 16
в : 14
пустом : 2
пространстве : 1
его : 12
окружает : 5
немыслимо : 11
сложный : 2
комплекс : 1
жизненных : 2
форм : 1
Когда : 15
многие : 12
из : 14
них : 12
будут : 5
роботизированы : 8
люди : 1
примут : 5
и : 15
нас : 12
И : 15
что : 15
тогда : 11
Пауза : 1
последовавшая : 7
за : 14
этим : 12
вопросом : 1
была : 5
слишком : 11
затянутой : 2
даже : 16
для : 14
такого : 2
запинающегося : 7
ритма : 1
в : 14
котором : 2
велась : 5
беседа : 1
Я : 12
хочу : 5
проверить : 6
твой : 2
образ : 1
мышления : 1
Ты : 12
сконструирован : 8
так : 15
чтобы : 15
выполнять : 6
Второй : 2
Закон : 1
не : 16
бездумно : 11
то : 15
есть : 17
самостоятельно : 11
решать : 6
кому : 1
подчиняться : 6
если : 15
приказы : 1
противоречат : 5
друг : 1
другу : 1
Или : 15
подчиняться : 6
ли : 16
человеку : 1
вообще : 11
Что : 15
ты : 12
должен : 3
взять : 6
за : 14
основу : 1
для : 14
принятия : 1
решения : 1
Я : 12
должен : 3
определить : 6
что : 15
такое : 2
человек : 1
прошелестел : 5
Джордж : 1
Девять : 10
А : 15
как : 15
По : 14
наружности : 1
По : 14
строению : 1
По : 14
размерам : 1
и : 15
форме : 1
Нет : 13
Из : 14
двух : 10
внешне : 11
похожих : 2
людей : 1
один : 2
может : 5
быть : 6
умным : 2
другой : 2
глупым : 2
один : 2
образованным : 7
другой : 2
невеждой : 1
один : 2
взрослым : 1
другой : 2
ребенком : 1
один : 2
ответственным : 2
другой : 2
злонамеренным : 2
Как : 15
же : 16
ты : 12
определишь : 5
человека : 1
Выполняя : 9
Второй : 2
Закон : 1
предписывающий : 7
мне : 12
повиноваться : 6
человеку : 1
я : 12
должен : 3
знать : 6
что : 15
человек : 1
имеет : 5
право : 1
отдать : 6
мне : 12
приказ : 1
благодаря : 14
своему : 2
уму : 1
характеру : 1
и : 15
знаниям : 1
если : 15
приказания : 1
отданные : 7
двумя : 10
людьми : 1
противоречат : 5
друг : 1
другу : 1
я : 12
должен : 3
выбрать : 6
наиболее : 11
достойного : 2
А : 15
как : 15
же : 16
ты : 12
в : 14
таком : 2
случае : 1
будешь : 5
выполнять : 6
Первый : 2
Закон : 1
Защищая : 9
любого : 12
человека : 1
от : 14
вреда : 1
и : 15
не : 16
допуская : 9
чтоб : 15
вред : 1
был : 5
причинен : 8
ему : 12
моим : 2
бездействием : 1
Однако : 15
если : 15
мои : 2
поступки : 1
в : 14
любом : 12
случае : 1
повредят : 5
комуто : 8
из : 14
людей : 1
я : 12
должен : 3
позаботиться : 6
о : 14
том : 2
чтобы : 15
меньше : 4
всего : 11
пострадал : 5
человек : 1
превосходящий : 2
прочих : 2
умом : 1
характером : 1
и : 15
знаниями : 1
Твои : 2
мысли : 1
совпадают : 5
с : 14
моими : 2
тихо : 11
пробормотал : 5
Джордж : 1
Десять : 10
Теперь : 11
я : 12
задам : 5
тебе : 12
вопрос : 1
ради : 14
которого : 2
собственно : 11
я : 12
и : 15
просил : 5
чтобы : 15
тебя : 12
дали : 5
мне : 12
в : 14
помощники : 1
Об : 14
этом : 12
я : 12
не : 16
осмеливаюсь : 5
судить : 6
самостоятельно : 11
Мне : 12
нужен : 3
взгляд : 1
со : 14
стороны : 1
я : 12
хочу : 5
услышать : 6
твое : 2
мнение : 1
Из : 14
всех : 2
разумных : 2
существ : 1
которых : 2
ты : 12
встречал : 5
кто : 12
потвоему : 11
превосходит : 5
остальных : 2
умом : 1
характером : 1
и : 15
знаниями : 1
если : 15
не : 16
принимать : 6
во : 14
внимание : 1
размеры : 1
и : 15
форму : 1
как : 15
несущественные : 2
факторы : 1
Ты : 12
прошептал : 5
Джордж : 1
Девять : 10
Но : 15
я : 12
робот : 1
В : 14
твоем : 2
мозгу : 1
есть : 17
критерии : 1
позволяющие : 7
отличать : 6
металлического : 2
робота : 1
от : 14
человека : 1
созданного : 7
из : 14
плоти : 1
Почему : 11
ты : 12
считаешь : 5
меня : 12
человеком : 1
Потому : 11
что : 15
в : 14
мой : 2
мозг : 1
заложено : 8
также : 15
настоятельное : 2
требование : 1
не : 16
принимать : 6
во : 14
внимание : 1
размеры : 1
и : 15
форму : 1
когда : 15
я : 12
сужу : 5
о : 14
людях : 1
и : 15
это : 16
требование : 1
важнее : 4
чем : 15
различие : 1
между : 14
металлом : 1
и : 15
плотью : 1
Ты : 12
человек : 1
Джордж : 1
Десять : 10
и : 15
наиболее : 11
достойный : 2
из : 14
всех : 2
А : 15
я : 12
пришел : 5
к : 14
аналогичному : 2
выводу : 1
относительно : 14
тебя : 12
прошептал : 5
Джордж : 1
Десять : 10
На : 14
основании : 1
критериев : 1
встроенных : 7
в : 14
наш : 2
мозг : 1
мы : 12
таким : 2
образом : 1
приходим : 5
к : 14
выводу : 1
что : 15
с : 14
точки : 1
зрения : 1
Трех : 10
Законов : 1
мы : 12
тоже : 11
являемся : 5
людьми : 1
более : 11
того : 2
превосходящими : 2
окружающих : 2
Что : 15
же : 16
будет : 5
когда : 15
нас : 12
примут : 5
те : 2
остальные : 2
Когда : 15
нас : 12
и : 15
нам : 12
подобных : 2
которые : 2
будут : 5
еще : 16
более : 11
совершенны : 3
примет : 5
общество : 1
мы : 12
реорганизуем : 5
его : 12
так : 15
чтобы : 15
людейтакихкакмы : 1
оберегали : 5
от : 14
вреда : 1
в : 14
первую : 2
очередь : 1
Согласно : 14
Трем : 10
Законам : 1
людитакиекакостальные : 2
менее : 11
значимы : 3
и : 15
не : 16
заслуживают : 5
чтобы : 15
их : 12
защищали : 5
если : 15
придется : 5
выбирать : 6
между : 14
ними : 12
и : 15
людьмитакимикакмы : 1
Вот : 16
что : 15
было : 5
моей : 2
целью : 1
когда : 15
я : 12
распорядился : 5
начать : 6
роботизацию : 1
природы : 1
На : 14
этот : 2
разговор : 1
ушел : 5
целый : 2
месяц : 1
Позитронные : 2
мозговые : 2
связи : 1
работали : 5
в : 14
затухающем : 7
режиме : 1
Но : 15
все : 2
необходимое : 2
было : 5
сказано : 8
и : 15
только : 16
неясное : 2
мерцание : 1
мысли : 1
пробегало : 5
иногда : 11
между : 14
роботами : 1
застывшими : 7
в : 14
бесконечном : 2
терпеливом : 2
ожидании : 1
Джордж : 1
Десять : 10
и : 15
Джордж : 1
Девять : 10
остались : 5
одни : 2
Их : 12
мысли : 1
были : 5
совершенно : 11
одинаковы : 3
Они : 12
думали : 5
людитакиекакостальные : 2
наверняка : 11
не : 16
предполагали : 5
сглаживать : 6
различие : 1
между : 14
собой : 12
и : 15
людьмитакимикакДжорджи : 1
Однако : 15
невольно : 11
получилось : 5
именно : 16
так : 15
Конечно : 15
они : 12
могут : 5
осознать : 6
свою : 2
ошибку : 1
и : 15
попытаться : 6
исправить : 6
ее : 12
но : 15
этого : 12
допустить : 6
нельзя : 13
Давая : 9
очередную : 2
консультацию : 1
Джорджи : 1
постоянно : 11
учитывали : 5
это : 16
обстоятельство : 1
Джорджи : 1
и : 15
им : 1
подобные : 2
которые : 2
придут : 5
за : 14
ними : 12
должны : 3
утвердить : 6
свое : 2
первенство : 1
любой : 1
ценой : 1
Таково : 3
было : 5
требование : 1
не : 16
допускающее : 7
никаких : 2
отклонений : 1
Трех : 10
Законов : 1
Гуманистики : 1
